Date,GDP_YoY_Growth,Total_Corporate_Credit,Total_Household_Credit,Total_Debt
2007-12-31,3.0,4877.6,11.6,156083.31
2008-03-31,1.7,5278.5,11.8,158296.02
2008-06-30,0.9,6077.299999999999,13.0,160952.95
2008-09-30,0.5,6898.4,14.100000000000001,162444.83
2008-12-31,-1.9,7738.9,14.7,163756.38
2009-03-31,-4.4,9281.3,16.2,163300.4
2009-06-30,-3.8,11984.8,18.2,164493.72
2009-09-30,-2.8,13825.2,19.9,164923.6
2009-12-31,-1.5,15010.3,19.9,165608.65
2010-03-31,1.9,14831.8,20.6,166772.33
2010-06-30,2.2,15539.599999999999,21.8,167537.5
2010-09-30,1.7,16857.9,23.3,167889.18
2010-12-31,1.2,16862.0,23.8,168658.01
2011-03-31,-0.2,15653.9,23.9,167278.25
2011-06-30,-1.2,17283.9,25.3,166648.48
2011-09-30,-2.3,19208.8,27.0,165525.9
2011-12-31,-3.1,21613.5,29.2,163834.05
2012-03-31,-3.2,24225.0,30.700000000000003,162027.89
2012-06-30,-4.0,27934.1,32.099999999999994,160264.04
2012-09-30,-4.3,31060.9,33.5,158446.81
2012-12-31,-4.6,31471.300000000003,34.7,156432.13
2013-03-31,-3.8,32161.4,36.4,154314.77
2013-06-30,-1.5,34929.9,36.8,152630.22
2013-09-30,-0.7,35823.4,37.2,150554.11
2013-12-31,2.2,36147.2,37.0,149225.63
2014-03-31,1.1,36368.5,37.1,146718.62
2014-06-30,0.5,37682.4,37.5,145423.96
2014-09-30,0.9,38450.4,37.6,144322.15
2014-12-31,0.5,38597.7,38.8,143082.59
2015-03-31,1.8,38277.8,40.3,141478.87
2015-06-30,1.6,39933.2,40.7,139898.91
2015-09-30,1.7,40652.3,40.1,139172.4
2015-12-31,1.3,39597.6,38.5,138521.96
2016-03-31,1.1,38304.9,36.599999999999994,137676.23
2016-06-30,1.5,38972.2,36.1,136911.47
2016-09-30,2.4,38657.9,35.1,136502.84
2016-12-31,3.0,37260.3,32.7,135537.47
2017-03-31,3.7,34215.1,31.0,135192.51
2017-06-30,3.5,32723.800000000003,37.6,134992.61
2017-09-30,3.1,31336.8,36.9,135208.98
2017-12-31,2.9,29310.1,34.5,135509.47
2018-03-31,2.5,27135.9,32.6,135334.42
2018-06-30,3.2,25714.300000000003,31.0,135699.23
2018-09-30,3.2,24319.8,29.5,135783.37
2018-12-31,2.9,19948.5,26.9,136294.43
2019-03-31,3.2,16249.2,22.9,141697.75
2019-06-30,2.7,15503.0,21.5,142114.7
2019-09-30,2.4,14110.1,20.6,142296.56
2019-12-31,2.7,10947.2,19.4,142589.92
2020-03-31,-2.4,9079.2,18.4,142907.14
2020-06-30,-17.6,8896.8,18.8,143217.5
2020-09-30,-6.1,8692.8,18.5,143824.68
2020-12-31,-6.6,7932.1,17.6,144528.84
2021-03-31,-5.4,7341.7,17.4,145545.59
2021-06-30,16.5,7105.6,16.5,147519.12
2021-09-30,5.5,6442.7,15.899999999999999,149191.48
2021-12-31,7.2,5744.0,14.399999999999999,150443.39
2022-03-31,12.2,5092.0,13.200000000000001,151547.11
2022-06-30,7.7,5211.6,12.2,153324.6
2022-09-30,5.0,5108.9,10.4,154194.16
2022-12-31,3.6,5028.3,10.3,154650.33
2023-03-31,3.3,4785.4,10.2,154013.17
2023-06-30,3.1,4711.8,10.3,153886.94
2023-09-30,2.0,4689.5,9.2,153504.33
2023-12-31,2.1,4671.5,8.2,153932.39
2024-03-31,1.4,4503.1,7.9,154016.14
2024-06-30,1.5,4449.8,8.0,155512.53
2024-09-30,2.0,4483.6,8.1,157050.3
2024-12-31,2.8,4341.9,8.0,159183.62
2025-03-31,1.6,4191.2,7.6,161447.65
